Dies ist eine Liste aller Konfigurationsoptionen derzeit von der Smoothie Firmware verstanden.

Wenn Sie weitere Informationen über ein bestimmtes Modul wollen, wie es funktioniert und wie sie zu konfigurieren, können Sie auf dieses Moduls Seite verweisen.

Für Informationen zu den Optionen , um die Einstellungen finden Sie hier pull up, Pull - Down, Open - Drain, usw.

Option	Beispielwert	Erläuterung
Allgemeine Bewegung		
default_feed_rate	4000	Standardrate für G1 / G2 / G3 bewegt sich in Millimeter / Minute. Dies wird durch den erste overrided F (Vorschub) Parameter nach dem Rücksetzen und niemals wieder verwendet.
default_seek_rate	4000	Standardrate für G0 bewegt sich in Millimeter / Minute
mm_per_arc_segment	0,5	Bögen werden in Segmente (Linien) schneiden, das ist die Länge für diese Segmente. Kleinere Werte eine höhere Auflösung bedeuten, bedeuten höhere Werte schnellere Berechnung
mm_per_line_segment	5	Linien können (in der Regel nicht sinnvoll, mit kartesischen Koordinaten Roboter) in Segmente geschnitten werden, dies legt die maximale Länge eines jeden Segments. Segmente länger als dies in mehrere Segmente geschnitten werden.
delta_segments_per_second	100	Stattdessen Linien in das Segment auf einem Abstand basierend schneiden, schneiden Sie sie basierend auf Zeit: Segmente geschnitten werden , so dass Smoothie -about- führt delta_segments_per_second Segmente pro Sekunde. Dies ist vor allem dann nützlich , wenn mit linear_delta Arm Lösungen.
planner_queue_size	32	Legt fest, wie viele Blöcke (Liniensegmente) werden im RAM gespeichert für Look-Ahead-Beschleunigung Berechnung. Sie nicht ändern, wenn Sie genau wissen, was Sie tun!
Beschleunigung	3000	Beschleunigung in Millimeter / Sekunde / Sekunde. Höhere Werte machen Ihre Maschine schneller und wackeliger, niedrigere Werte Ihrer Maschine langsamer und stabiler zu machen. Dies ist im Allgemeinen proportional zum Gewicht des Werkzeugs Sie verschieben wollen.
alpha_acceleration		Beschleunigung in Millimeter / Sekunde / Sekunde für die Alpha-Aktuator (X-Achse auf Cartesian), nicht auf Deltas eingestellt
beta_acceleration		Beschleunigung in Millimeter / Sekunde / Sekunde für die Beta-Aktor (Y-Achse auf Cartesian), nicht auf Deltas eingestellt
gamma_acceleration		Beschleunigung in Millimeter / Sekunde / Sekunde für die Gamma-Aktor (Z-Achse auf Cartesian), nicht auf Deltas eingestellt
junction_deviation	0,05	Ähnlich wie bei der alten "max_jerk", in Millimetern. Legt fest , wie viel die Maschine verlangsamt , wenn proportional Verzögerung auf den Vektorwinkel der Richtungsänderung. Sehen Sie hier und hier . Niedrigere Werte vorsichtiger verstehen sind, höhere Werte bedeuten schnellere ist und mehr Ruck haben
z_junction_deviation	0	Junction Abweichung für Z nur bewegt, -1 verwendet junction_deviation, 0 deaktiviert junction_deviation auf z bewegt. Sie diesen Wert nicht einstellen , wenn Sie einen Delta - Arm - Lösung verwenden.
